Payment Account,Company,Vendor Num,Delivery Date,Due Date,Invoice Num,Order Num,PO Num,Product Group,Debit,Credit,Open Balance,View Invoice
1234 Demo Account,Demo Store,1000,2026-05-20,2026-06-20,4000000,50000,60000,Beer,900.05,0,900.05,https://example.com/invoice/4000000
1234 Demo Account,Demo Store,1001,2026-05-20,2026-06-20,4000001,50001,60001,Spirits,597.14,0,597.14,https://example.com/invoice/4000001
1234 Demo Account,Demo Store,1002,2026-05-20,2026-06-20,4000002,50002,60002,Mixers,483.47,0,483.47,https://example.com/invoice/4000002
1234 Demo Account,Demo Store,1003,2026-05-20,2026-06-20,4000003,50003,60003,Spirits,2410.29,0,2410.29,https://example.com/invoice/4000003
1234 Demo Account,Demo Store,1004,2026-05-20,2026-06-20,4000004,50004,60004,Mixers,1347.51,0,1347.51,https://example.com/invoice/4000004
1234 Demo Account,Demo Store,1005,2026-05-20,2026-06-20,4000005,50005,60005,Spirits,719.72,0,719.72,https://example.com/invoice/4000005
1234 Demo Account,Demo Store,1006,2026-05-20,2026-06-20,4000006,50006,60006,Beer,292.44,0,292.44,https://example.com/invoice/4000006
1234 Demo Account,Demo Store,1007,2026-05-20,2026-06-20,4000007,50007,60007,Beer,1691.52,0,1691.52,https://example.com/invoice/4000007
1234 Demo Account,Demo Store,1008,2026-05-20,2026-06-20,4000008,50008,60008,Mixers,426.6,0,426.6,https://example.com/invoice/4000008
1234 Demo Account,Demo Store,1009,2026-05-20,2026-06-20,4000009,50009,60009,Wine,2165.07,0,2165.07,https://example.com/invoice/4000009
1234 Demo Account,Demo Store,1010,2026-05-20,2026-06-20,4000010,50010,60010,Beer,1056.16,0,1056.16,https://example.com/invoice/4000010
1234 Demo Account,Demo Store,1011,2026-05-20,2026-06-20,4000011,50011,60011,Mixers,766.89,0,766.89,https://example.com/invoice/4000011
1234 Demo Account,Demo Store,1012,2026-05-20,2026-06-20,4000012,50012,60012,Beer,604.64,0,604.64,https://example.com/invoice/4000012
1234 Demo Account,Demo Store,1013,2026-05-20,2026-06-20,4000013,50013,60013,Wine,211.1,0,211.1,https://example.com/invoice/4000013
1234 Demo Account,Demo Store,1014,2026-05-20,2026-06-20,4000014,50014,60014,Beer,2334.25,0,2334.25,https://example.com/invoice/4000014
1234 Demo Account,Demo Store,1015,2026-05-20,2026-06-20,4000015,50015,60015,Beer,1875.3,0,1875.3,https://example.com/invoice/4000015
1234 Demo Account,Demo Store,1016,2026-05-20,2026-06-20,4000016,50016,60016,Spirits,2018.45,0,2018.45,https://example.com/invoice/4000016
1234 Demo Account,Demo Store,1017,2026-05-20,2026-06-20,4000017,50017,60017,Spirits,2300.69,0,2300.69,https://example.com/invoice/4000017
1234 Demo Account,Demo Store,1018,2026-05-20,2026-06-20,4000018,50018,60018,Beer,1048.04,0,1048.04,https://example.com/invoice/4000018
1234 Demo Account,Demo Store,1019,2026-05-20,2026-06-20,4000019,50019,60019,Wine,2371.03,0,2371.03,https://example.com/invoice/4000019
1234 Demo Account,Demo Store,1020,2026-05-20,2026-06-20,4000020,50020,60020,Wine,598.4,0,598.4,https://example.com/invoice/4000020
1234 Demo Account,Demo Store,1021,2026-05-20,2026-06-20,4000021,50021,60021,Beer,1040.28,0,1040.28,https://example.com/invoice/4000021
1234 Demo Account,Demo Store,1022,2026-05-20,2026-06-20,4000022,50022,60022,Mixers,1701.03,0,1701.03,https://example.com/invoice/4000022
1234 Demo Account,Demo Store,1023,2026-05-20,2026-06-20,4000023,50023,60023,Mixers,2404.52,0,2404.52,https://example.com/invoice/4000023
1234 Demo Account,Demo Store,1024,2026-05-20,2026-06-20,4000024,50024,60024,Spirits,1289.16,0,1289.16,https://example.com/invoice/4000024
1234 Demo Account,Demo Store,1025,2026-05-20,2026-06-20,4000025,50025,60025,Mixers,2468.09,0,2468.09,https://example.com/invoice/4000025
1234 Demo Account,Demo Store,1026,2026-05-20,2026-06-20,4000026,50026,60026,Wine,621.5,0,621.5,https://example.com/invoice/4000026
1234 Demo Account,Demo Store,1027,2026-05-20,2026-06-20,4000027,50027,60027,Spirits,800.26,0,800.26,https://example.com/invoice/4000027
1234 Demo Account,Demo Store,1028,2026-05-20,2026-06-20,4000028,50028,60028,Mixers,327.92,0,327.92,https://example.com/invoice/4000028
1234 Demo Account,Demo Store,1029,2026-05-20,2026-06-20,4000029,50029,60029,Spirits,1046.21,0,1046.21,https://example.com/invoice/4000029
1234 Demo Account,Demo Store,1030,2026-05-20,2026-06-20,4000030,50030,60030,Mixers,500.76,0,500.76,https://example.com/invoice/4000030
1234 Demo Account,Demo Store,1031,2026-05-20,2026-06-20,4000031,50031,60031,Mixers,882.97,0,882.97,https://example.com/invoice/4000031
1234 Demo Account,Demo Store,1032,2026-05-20,2026-06-20,4000032,50032,60032,Mixers,2195.94,0,2195.94,https://example.com/invoice/4000032
1234 Demo Account,Demo Store,1033,2026-05-20,2026-06-20,4000033,50033,60033,Wine,692.77,0,692.77,https://example.com/invoice/4000033
1234 Demo Account,Demo Store,1034,2026-05-20,2026-06-20,4000034,50034,60034,Mixers,2009.16,0,2009.16,https://example.com/invoice/4000034
1234 Demo Account,Demo Store,1035,2026-05-20,2026-06-20,4000035,50035,60035,Beer,1759.38,0,1759.38,https://example.com/invoice/4000035
1234 Demo Account,Demo Store,1036,2026-05-20,2026-06-20,4000036,50036,60036,Beer,297.96,0,297.96,https://example.com/invoice/4000036
1234 Demo Account,Demo Store,1037,2026-05-20,2026-06-20,4000037,50037,60037,Beer,2333.76,0,2333.76,https://example.com/invoice/4000037
1234 Demo Account,Demo Store,1038,2026-05-20,2026-06-20,4000038,50038,60038,Mixers,1808.69,0,1808.69,https://example.com/invoice/4000038
1234 Demo Account,Demo Store,1039,2026-05-20,2026-06-20,4000039,50039,60039,Mixers,1727.42,0,1727.42,https://example.com/invoice/4000039
