Unnamed: 0,Vendor,Unnamed: 2,Type,Unnamed: 4,Num,Unnamed: 6,Date,Unnamed: 8,Due Date,Unnamed: 10,Aging,Unnamed: 12,Amount,Unnamed: 14,Open Balance
,Blue River Foods,,Bill,,4000000,,2026-05-20,,2026-06-20,,1-30,,900.05,,900.05
,North Star Wholesale,,Bill,,4000001,,2026-05-20,,2026-06-20,,1-30,,597.14,,597.14
,Summit Beverage,,Bill,,4000002,,2026-05-20,,2026-06-20,,1-30,,483.47,,483.47
,Valley Packaging,,Bill,,4000003,,2026-05-20,,2026-06-20,,1-30,,2410.29,,2410.29
,North Star Wholesale,,Bill,,4000004,,2026-05-20,,2026-06-20,,1-30,,1347.51,,1347.51
,North Star Wholesale,,Bill,,4000006,,2026-05-20,,2026-06-20,,1-30,,292.44,,292.44
,Metro Supply,,Bill,,4000007,,2026-05-20,,2026-06-20,,1-30,,1691.52,,1691.52
,Summit Beverage,,Bill,,4000008,,2026-05-20,,2026-06-20,,1-30,,426.6,,426.6
,North Star Wholesale,,Bill,,4000009,,2026-05-20,,2026-06-20,,1-30,,2165.07,,2165.07
,Blue River Foods,,Bill,,4000010,,2026-05-20,,2026-06-20,,1-30,,1056.16,,1056.16
,Oak Distribution,,Bill,,4000011,,2026-05-20,,2026-06-20,,1-30,,766.89,,766.89
,Oak Distribution,,Bill,,4000013,,2026-05-20,,2026-06-20,,1-30,,211.1,,211.1
,Oak Distribution,,Bill,,4000014,,2026-05-20,,2026-06-20,,1-30,,2334.25,,2334.25
,Valley Packaging,,Bill,,4000015,,2026-05-20,,2026-06-20,,1-30,,1875.3,,1875.3
,Pioneer Goods,,Bill,,4000016,,2026-05-20,,2026-06-20,,1-30,,2018.45,,2018.45
,Metro Supply,,Bill,,4000017,,2026-05-20,,2026-06-20,,1-30,,2300.69,,2300.69
,Summit Beverage,,Bill,,4000018,,2026-05-20,,2026-06-20,,1-30,,1048.04,,1048.04
,North Star Wholesale,,Bill,,4000019,,2026-05-20,,2026-06-20,,1-30,,2371.03,,2371.03
,Valley Packaging,,Bill,,4000020,,2026-05-20,,2026-06-20,,1-30,,598.4,,598.4
,North Star Wholesale,,Bill,,4000021,,2026-05-20,,2026-06-20,,1-30,,1040.28,,1040.28
,Summit Beverage,,Bill,,4000022,,2026-05-20,,2026-06-20,,1-30,,1701.03,,1701.03
,North Star Wholesale,,Bill,,4000023,,2026-05-20,,2026-06-20,,1-30,,2404.52,,2404.52
,North Star Wholesale,,Bill,,4000024,,2026-05-20,,2026-06-20,,1-30,,1289.16,,1289.16
,Valley Packaging,,Bill,,4000025,,2026-05-20,,2026-06-20,,1-30,,2468.09,,2468.09
,Oak Distribution,,Bill,,4000026,,2026-05-20,,2026-06-20,,1-30,,621.5,,621.5
,Pioneer Goods,,Bill,,4000028,,2026-05-20,,2026-06-20,,1-30,,327.92,,327.92
,Oak Distribution,,Bill,,4000029,,2026-05-20,,2026-06-20,,1-30,,1046.21,,1046.21
,Blue River Foods,,Bill,,4000030,,2026-05-20,,2026-06-20,,1-30,,500.76,,500.76
,Pioneer Goods,,Bill,,4000031,,2026-05-20,,2026-06-20,,1-30,,882.97,,882.97
,Oak Distribution,,Bill,,4000032,,2026-05-20,,2026-06-20,,1-30,,2195.94,,2195.94
,Valley Packaging,,Bill,,4000033,,2026-05-20,,2026-06-20,,1-30,,692.77,,692.77
,North Star Wholesale,,Bill,,4000034,,2026-05-20,,2026-06-20,,1-30,,2009.16,,2009.16
,Valley Packaging,,Bill,,4000035,,2026-05-20,,2026-06-20,,1-30,,1759.38,,1759.38
,Blue River Foods,,Bill,,4000036,,2026-05-20,,2026-06-20,,1-30,,297.96,,297.96
,Metro Supply,,Bill,,4000037,,2026-05-20,,2026-06-20,,1-30,,2333.76,,2333.76
,Summit Beverage,,Bill,,4000038,,2026-05-20,,2026-06-20,,1-30,,1808.69,,1808.69
,Blue River Foods,,Bill,,4000039,,2026-05-20,,2026-06-20,,1-30,,1727.42,,1727.42
